name,rating,Duration,Year,Genre,Gross_income
Cars 3,6.7,102,2017,Animation Adventure Comedy,152901115
The Day After Tomorrow,6.4,124,2004,Action Adventure Sci-Fi,186740799
Independence Day: Resurgence,5.2,120,2016,Action Adventure Sci-Fi,103144286
Stargate,7.0,116,1994,Action Adventure Sci-Fi,71565669
San Andreas,6.0,114,2015,Action Adventure Thriller,155190832
The Great Train Robbery,6.9,110,1978,Adventure Crime Drama,13027857
Snow White and the Huntsman,6.1,127,2012,Action Adventure Drama,155332381
Fast & Furious Presents: Hobbs & Shaw,6.5,137,2019,Action Adventure Thriller,173956935
Hellboy,6.8,122,2004,Action Adventure Fantasy,59623958
Allegiant,5.6,120,2016,Action Adventure Mystery,66184051
Ant-Man and the Wasp,7.0,118,2018,Action Adventure Comedy,216648740
Lawrence of Arabia,8.3,218,1962,Adventure Biography Drama,44824144
Thelma & Louise,7.5,130,1991,Adventure Crime Drama,45361000
Men in Black II,6.1,88,2002,Action Adventure Comedy,190418803
Shrek 2,7.3,93,2004,Animation Adventure Comedy,436471036
The Twilight Saga: Eclipse,5.0,124,2010,Action Adventure Drama,300531751
The Jungle Book,7.4,106,2016,Adventure Drama Family,364001123
Princess Mononoke,8.4,134,1997,Animation Adventure Fantasy,2375308
In the Heart of the Sea,6.9,122,2015,Action Adventure Biography,25020758
Thunderball,6.9,130,1965,Action Adventure Thriller,63600000
Alien vs. Predator,5.6,101,2004,Action Adventure Horror,80282231
